image,updated_at,annotation_id,choice,lead_time,id,created_at,annotator
/data/upload/2/4d85b38e-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_GqTfzza.jpg,2023-05-23T16:36:56.516746Z,1,[MO-TP] Multiple objects present - All objects detected,63.931,1,2023-05-23T16:36:56.516705Z,3
/data/upload/2/24707f41-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_WT84n2B.JPG,2023-05-23T16:37:24.846282Z,2,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),7.74,2,2023-05-23T16:37:24.846241Z,3
/data/upload/2/55dea787-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_PXSjQau.JPG,2023-05-23T16:37:40.668602Z,3,[MO-TP] Multiple objects present - All objects detected,14.213,3,2023-05-23T16:37:40.668560Z,3
/data/upload/2/5926e086-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_mHh2jWz.jpg,2023-05-23T16:37:49.403479Z,4,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),7.002,4,2023-05-23T16:37:49.403424Z,3
/data/upload/2/45565f91-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_lovjMYj.JPG,2023-05-23T16:37:56.671494Z,5,[MO-TP] Multiple objects present - All objects detected,5.946,5,2023-05-23T16:37:56.671454Z,3
/data/upload/2/8484b3bd-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_S7jEyyt.JPG,2023-05-23T16:38:03.579906Z,6,[MO-TP] Multiple objects present - All objects detected,4.559,6,2023-05-23T16:38:03.579865Z,3
/data/upload/2/c2bb53cb-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_gobqn1t.JPG,2023-05-23T16:38:12.392740Z,7,[MO-TP] Multiple objects present - All objects detected,7.205,7,2023-05-23T16:38:12.392701Z,3
/data/upload/2/600a6a1d-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_5W0CR5j.JPG,2023-05-23T16:38:22.374449Z,8,[MO-TP] Multiple objects present - All objects detected,7.478,8,2023-05-23T16:38:22.374409Z,3
/data/upload/2/b8bfbeff-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_poqaAWb.JPG,2023-05-23T16:38:54.830446Z,9,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),30.532,9,2023-05-23T16:38:54.830393Z,3
/data/upload/2/28af39e8-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_rSyM6lt.JPG,2023-05-23T16:39:00.267743Z,10,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),3.897,10,2023-05-23T16:39:00.267702Z,3
/data/upload/2/3dec00f1-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_DmxFYkQ.JPG,2023-05-23T16:39:06.570604Z,11,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),3.758,11,2023-05-23T16:39:06.570539Z,3
/data/upload/2/3ec269cd-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_SlV7ooy.JPG,2023-05-23T16:39:14.562400Z,12,[MO-TP] Multiple objects present - All objects detected,6.384,12,2023-05-23T16:39:14.562357Z,3
/data/upload/2/aaea21ab-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_CfRWoxZ.JPG,2023-05-23T16:39:32.885354Z,13,[MO-TP] Multiple objects present - All objects detected,8.754,13,2023-05-23T16:39:32.885314Z,3
/data/upload/2/737397da-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_ufWwBAi.JPG,2023-05-23T16:39:45.274988Z,14,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),10.605,14,2023-05-23T16:39:45.274948Z,3
/data/upload/2/cb0a992e-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_5Ttumrr.JPG,2023-05-23T16:39:51.769095Z,15,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),4.762,15,2023-05-23T16:39:51.769056Z,3
/data/upload/2/6f8f3c0f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_b48bWNR.JPG,2023-05-23T16:39:59.552137Z,16,[MO-TP] Multiple objects present - All objects detected,5.976,16,2023-05-23T16:39:59.552081Z,3
/data/upload/2/89c85ff6-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_2Bc5gMZ.JPG,2023-05-23T16:40:07.359054Z,17,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),5.331,17,2023-05-23T16:40:07.359011Z,3
/data/upload/2/dcc4b790-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_WGHsmRe.JPG,2023-05-23T16:40:18.739490Z,18,[MO-TP] Multiple objects present - All objects detected,7.89,18,2023-05-23T16:40:18.739450Z,3
/data/upload/2/dcdf1158-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_h4tfC5J.JPG,2023-05-23T16:40:25.416625Z,19,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),4.887,19,2023-05-23T16:40:25.416583Z,3
/data/upload/2/1baffab0-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_AIveQYC.JPG,2023-05-23T16:40:33.263143Z,20,[MO-TP] Multiple objects present - All objects detected,5.957,20,2023-05-23T16:40:33.263100Z,3
/data/upload/2/06ce31ec-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_uPYK3B8.JPG,2023-05-23T16:40:56.463141Z,21,[MO-TP] Multiple objects present - All objects detected,21.301,21,2023-05-23T16:40:56.463100Z,3
/data/upload/2/600194fe-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_vR8JJtv.JPG,2023-05-23T16:41:22.729810Z,22,[MO-TP] Multiple objects present - All objects detected,23.905,22,2023-05-23T16:41:22.729771Z,3
/data/upload/2/76c32130-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_DASJEX0.JPG,2023-05-23T16:41:31.863470Z,23,[MO-TP] Multiple objects present - All objects detected,7.07,23,2023-05-23T16:41:31.863422Z,3
/data/upload/2/2e2ee399-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_7mLANmk.JPG,2023-05-23T16:41:46.954115Z,24,[SO-TP] Single object present - single object detected,11.8,24,2023-05-23T16:41:46.954074Z,3
/data/upload/2/257a98f6-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_VgfF5o9.JPG,2023-05-23T16:42:03.725677Z,25,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),14.939,25,2023-05-23T16:42:03.725627Z,3
/data/upload/2/078c0972-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Sa9yzXj.JPG,2023-05-23T16:42:13.192730Z,26,[MO-TP] Multiple objects present - All objects detected,7.16,26,2023-05-23T16:42:13.192688Z,3
/data/upload/2/a823df30-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Cts96UL.JPG,2023-05-23T16:42:23.759842Z,27,[MO-TP] Multiple objects present - All objects detected,8.858,27,2023-05-23T16:42:23.759796Z,3
/data/upload/2/6cca7531-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_9yNZu4C.JPG,2023-05-23T16:42:31.336795Z,28,[MO-TP] Multiple objects present - All objects detected,6.085,28,2023-05-23T16:42:31.336732Z,3
/data/upload/2/9d7b50a7-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_xO7oGid.JPG,2023-05-23T16:42:45.962775Z,29,[SO-TP] Single object present - single object detected,12.8,29,2023-05-23T16:42:45.962735Z,3
/data/upload/2/8735f524-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Pu6i3A0.JPG,2023-05-23T16:42:53.399007Z,30,[MO-TP] Multiple objects present - All objects detected,3.895,30,2023-05-23T16:42:53.398965Z,3
/data/upload/2/acf865c6-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_yX5Ve6y.JPG,2023-05-23T16:43:03.191021Z,31,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),5.035,31,2023-05-23T16:43:03.190978Z,3
/data/upload/2/2d118420-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_5g7whpJ.JPG,2023-05-23T16:43:09.020781Z,32,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),4.262,32,2023-05-23T16:43:09.020741Z,3
/data/upload/2/67bf4b1f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_V3PjNzT.JPG,2023-05-23T16:43:18.863335Z,33,[MO-TP] Multiple objects present - All objects detected,7.765,33,2023-05-23T16:43:18.863293Z,3
/data/upload/2/c8f45e9e-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_qk2g2Ab.JPG,2023-05-23T16:43:26.598787Z,34,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),6.194,34,2023-05-23T16:43:26.598732Z,3
/data/upload/2/0caee39f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Mi3lwJD.JPG,2023-05-23T16:43:34.131808Z,35,[MO-TP] Multiple objects present - All objects detected,5.744,35,2023-05-23T16:43:34.131768Z,3
/data/upload/2/1f0a16c5-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_NK5uZwC.JPG,2023-05-23T16:43:44.155751Z,36,[SO-TP] Single object present - single object detected,8.299,36,2023-05-23T16:43:44.155710Z,3
/data/upload/2/d070d61c-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_P5NG6Xu.JPG,2023-05-23T16:43:52.765369Z,37,[MO-TP] Multiple objects present - All objects detected,6.759,37,2023-05-23T16:43:52.765328Z,3
/data/upload/2/8c295aff-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_6VMhBKu.JPG,2023-05-23T16:44:01.570603Z,38,[SO-TP] Single object present - single object detected,5.674,38,2023-05-23T16:44:01.570569Z,3
/data/upload/2/b9a7ed11-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_agJ8CIZ.JPG,2023-05-23T16:44:10.621855Z,39,[MO-TP] Multiple objects present - All objects detected,6.962,39,2023-05-23T16:44:10.621808Z,3
/data/upload/2/7c923b18-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_DU24F3P.JPG,2023-05-23T16:44:17.925780Z,40,[MO-FN] Multiple objects present  - detected < present (i.e. the model fails to detect one or more objects),5.263,40,2023-05-23T16:44:17.925731Z,3
/data/upload/2/724a8f67-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_V5syeBH.JPG,2023-05-23T16:44:24.007462Z,41,[SO-TP] Single object present - single object detected,4.16,41,2023-05-23T16:44:24.007420Z,3
/data/upload/2/96b93f41-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_th2TJYY.JPG,2023-05-23T16:44:34.593542Z,42,[SO-FN] Single object present - no object detected (i.e. the model fails to detect the object),8.159,42,2023-05-23T16:44:34.593496Z,3
/data/upload/2/d659466c-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_Ny6Uwwd.JPG,2023-05-23T16:44:45.258836Z,43,[SO-FN] Single object present - no object detected (i.e. the model fails to detect the object),4.988,43,2023-05-23T16:44:45.258794Z,3
/data/upload/2/af3feb9f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_ATWFI9n.jpg,2023-05-23T16:44:52.660824Z,44,[SO-TP] Single object present - single object detected,5.402,44,2023-05-23T16:44:52.660781Z,3
/data/upload/2/4330829f-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_2828oze.jpg,2023-05-23T16:44:58.045986Z,45,[SO-TP] Single object present - single object detected,3.736,45,2023-05-23T16:44:58.045946Z,3
/data/upload/2/24223955-anno_dataProsjekter3823001_17_metodesats_analyse_23_04_jepsenMegadetec_iYvNDBX.jpg,2023-05-23T16:45:03.900819Z,46,[SO-TP] Single object present - single object detected,4.25,46,2023-05-23T16:45:03.900735Z,3
