size	var_k1	max_k1	var_k3	max_k3	var_k5	max_k5	path
24504	77	280	996	930	97185	7792	./0a2448958a8a2834ccf025048e3595ef.JPG
37153	52	260	724	848	76392	6168	./0b149320c19aa3e40936217772fcefc4.JPG
28697	74	300	972	930	93423	7816	./0bfc0ebc857980fc1fcbd1e6890bbd1d.JPG
60764	86	330	1129	990	106537	7816	./0c51ee124024dcc879ee17f1621a5a78.JPG
74413	87	323	1142	988	114883	7868	./0dd39bda743b5d7733d414e280699306.JPG
148759	162	260	2130	848	212539	6168	./10cbe0126bb7b537704627c718d8cb55.JPG
126695	79	260	1067	848	116337	6316	./11c67c5d6c2bbcfa5edde708715b6185.JPG
35257	29	207	386	680	43739	6696	./12ce5d86223666245cd078daad91ec05.JPG
87753	83	280	1065	930	103389	7780	./14d6df638fda1f1f92e390d6f5db7476.JPG
113249	100	286	1283	930	130973	7868	./15d2be723c4b56955c88330f71ebd01a.JPG
78470	65	274	862	872	83325	7280	./16f06de80548fafd2da5ec8025754a0b.JPG
43175	76	328	979	990	95141	7792	./1937dedc2cf28f448620c1a04f55cee1.JPG
34563	44	270	608	876	63192	6168	./1987c28f7eb45a0db90b82cca14acdb0.JPG
81781	76	280	952	930	92852	7776	./1b5360b8026f2bb16f12df7ab216d551.JPG
25413	74	310	969	930	94298	7840	./1e42483c9fa127e298bbaa50cc6a1055.JPG
40119	73	289	950	958	92348	7772	./1f62fa2aa77efc04fbcda985a2006fb7.JPG
49498	79	280	1029	930	98014	7816	./22987c20de04c92de364717fd980236e.JPG
118289	130	261	1739	848	179670	6280	./22de2f7398db967a721448e62ff73546.JPG
44640	73	286	931	930	91622	7856	./2d0ca556033b1a3ea2f5783853201ee3.JPG
85582	123	310	1606	930	163253	7840	./2e6f735a21d54076f8505443cf028f95.JPG
29131	42	295	512	904	49438	7884	./316d20d9d53ac0e0717a0fc9664e31e8.JPG
83380	83	260	1139	848	119138	6168	./350b8d6799d70a2e70f7ed5adc564dd3.JPG
20051	35	260	456	848	48727	6336	./379ee79efba914762335cf9c0a299730.JPG
98698	85	280	1081	930	108212	7868	./37a19363ebc62ec1843ab8b207ca3f6a.JPG
68167	96	280	1235	930	129611	7780	./39353b79ad1d9495f64ad5eea940934d.JPG
25592	74	280	970	930	93535	7816	./3a5f63e8a7e729f69a76b5fc42c8b549.JPG
105884	86	260	1166	848	123207	6316	./3b7d362bc4bc67caf981c7ecd4b161ea.JPG
